epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,1069.06,0.87709,1.32059,1.09567,0.00692,0.51091,0.59449,0.42051,0.44076,0.34293,0.58403,0.41722,0.43391,0.32071,1.16195,2.22907,2.42016,0.01468,0,9.42956e-05,9.42956e-05,9.42956e-05
83,1080.54,0.86238,1.30502,1.07422,0.00669,0.51314,0.65009,0.4028,0.43918,0.34402,0.63753,0.39792,0.43261,0.32166,1.16541,2.16737,2.3302,0.01474,0,8.95832e-05,8.95832e-05,8.95832e-05
84,1092.1,0.86022,1.2972,1.06109,0.00659,0.50979,0.59938,0.42484,0.43511,0.33761,0.58957,0.4202,0.42573,0.31336,1.15081,2.23415,2.33927,0.01461,0,8.48708e-05,8.48708e-05,8.48708e-05
85,1103.69,0.87973,1.32827,1.05758,0.00679,0.49137,0.6196,0.42405,0.43895,0.3433,0.61145,0.42031,0.42999,0.3181,1.16294,2.25688,2.33483,0.0149,0,8.01584e-05,8.01584e-05,8.01584e-05
86,1115.44,0.89309,1.33326,1.09775,0.00672,0.50306,0.58488,0.43244,0.44076,0.33814,0.58953,0.42339,0.43373,0.31535,1.17286,2.25128,2.33423,0.01499,0,7.5446e-05,7.5446e-05,7.5446e-05
87,1129.9,0.88751,1.33247,1.05975,0.00656,0.4927,0.59713,0.4232,0.43886,0.33559,0.58955,0.41607,0.43043,0.31405,1.16478,2.23736,2.35636,0.01473,0,7.07336e-05,7.07336e-05,7.07336e-05
88,1141.86,0.86689,1.31833,1.04085,0.00684,0.47784,0.58581,0.43539,0.43859,0.33768,0.58527,0.43481,0.43541,0.31792,1.16214,2.16326,2.3273,0.01479,0,6.60212e-05,6.60212e-05,6.60212e-05
89,1153.95,0.87132,1.32713,1.03474,0.00667,0.48558,0.61369,0.44538,0.43787,0.33723,0.58995,0.44411,0.4356,0.32017,1.15692,2.17576,2.36013,0.01471,0,6.13088e-05,6.13088e-05,6.13088e-05
90,1165.93,0.86657,1.32434,1.04978,0.00658,0.47484,0.6119,0.41896,0.43587,0.33711,0.56199,0.43325,0.43483,0.32022,1.15252,2.1764,2.36548,0.01451,0,5.65964e-05,5.65964e-05,5.65964e-05
91,1188.57,0.94773,1.32839,1.1106,0.00962,0.3885,0.55903,0.42788,0.4087,0.31158,0.55612,0.42423,0.40466,0.28311,1.21085,2.37314,2.44011,0.01596,0,5.1884e-05,5.1884e-05,5.1884e-05
92,1199.91,0.89516,1.26149,0.99206,0.00869,0.25418,0.58973,0.41474,0.41076,0.30998,0.58908,0.41452,0.40678,0.28421,1.21689,2.36917,2.39968,0.01623,0,4.71716e-05,4.71716e-05,4.71716e-05
93,1211.21,0.87728,1.21036,0.95734,0.00876,0.22327,0.58648,0.40401,0.41998,0.32433,0.56088,0.42715,0.41766,0.29581,1.2029,2.37176,2.38634,0.01592,0,4.24592e-05,4.24592e-05,4.24592e-05
94,1222.51,0.86044,1.19436,0.95032,0.00831,0.20483,0.61018,0.40028,0.42385,0.32697,0.61851,0.40328,0.4197,0.2996,1.19499,2.29189,2.36182,0.01584,0,3.77468e-05,3.77468e-05,3.77468e-05
95,1233.66,0.87047,1.20905,0.92428,0.00837,0.20091,0.59457,0.4107,0.43012,0.33402,0.59548,0.41181,0.42555,0.30599,1.17457,2.27966,2.3615,0.01543,0,3.30344e-05,3.30344e-05,3.30344e-05
96,1245.08,0.86154,1.2252,0.93139,0.00819,0.20376,0.59167,0.41576,0.42862,0.3362,0.57404,0.42981,0.43068,0.30905,1.17738,2.27338,2.35991,0.01551,0,2.8322e-05,2.8322e-05,2.8322e-05
97,1256.67,0.84523,1.1935,0.896,0.00814,0.1966,0.63626,0.38498,0.43289,0.33861,0.55357,0.44096,0.4366,0.31429,1.17286,2.27156,2.34111,0.01544,0,2.36096e-05,2.36096e-05,2.36096e-05
98,1268.21,0.84547,1.18737,0.90655,0.00831,0.20063,0.66748,0.38319,0.43398,0.3401,0.55951,0.43275,0.43412,0.31399,1.1648,2.27433,2.34733,0.01515,0,1.88972e-05,1.88972e-05,1.88972e-05
99,1279.73,0.83816,1.17505,0.88789,0.00809,0.19233,0.55131,0.42633,0.43554,0.33863,0.55625,0.42973,0.43146,0.31321,1.17212,2.25935,2.3391,0.01521,0,1.41848e-05,1.41848e-05,1.41848e-05
100,1291.81,0.84533,1.17033,0.8932,0.00831,0.18979,0.55728,0.43385,0.43379,0.33589,0.5645,0.43716,0.43011,0.30898,1.1732,2.29361,2.33298,0.01527,0,9.4724e-06,9.4724e-06,9.4724e-06
